n, Time (ms) 
64,0.779898
128,0.248205
256,1.03549
512,0.584206
1024,1.58236
2048,2.69703
4096,5.26154
8192,8.2318
16384,30.5329
32768,54.9379
65536,90.5059
131072,168.633
262144,134.9
524288,566.219
1048576,1103.3
