n, Time (ms)
1024,0.15863
2048,0.336159
4096,0.746083
8192,1.57811
16384,3.70052
32768,7.71406
65536,17.7301
131072,36.1533
262144,76.5012
524288,159.171
10248576,332.901
2097152,703.271
4194304,1455.94
8388608,2997.58
16777216,6161.48
33554432,12938
67108864,24312.9
134217728,51203.8
268435456,101078
