n, Time (ms)
128,0.0780324
256,0.0463122
512,0.0884701
1024,0.172639
2048,0.325856
4096,0.632249
8192,1.29761
16384,2.78528
32768,5.64567
65536,11.3425
131072,26.8183
262144,54.6403
524288,103.21
1048576,184.454
2097152,464.741
4194304,926.11
8388608,1610.77
16777216,3222.84
33554432,6143.68
67108864,13170.8
134217728,25389.5
