Number of cores, Time (ms) 
1,21459.3
2,23193.2
3,24892.7
4,26039.3
5,23313.7
6,21629.8
7,21075.7
8,20331.1
9,19928.2
10,19978.7
11,17927.3
12,15516.9
13,16228.4
14,16079.7
15,14883.9
16,14173.7
17,13739.3
18,15209.2
19,13333.1
20,12714.6
21,13465.2
22,12616.9
23,12528.1
24,12938.2
25,15174.2
