n, Time (ms) 
1024,0.294454
2048,0.374276
4096,0.629386
8192,0.938212
16384,1.64352
32768,3.13374
65536,5.35803
131072,9.69024
262144,18.1066
524288,31.1193
1048576,68.1029
2097152,164.49
4194304,321.781
8388608,648.624
16777216,1278.82
33554432,2276.62
67108864,3952.93
134217728,7840.52
268435456,19385
536870912,50673.8
1073741824,76844.5
