n, Time (ms) 
64,1.40144
128,0.754872
256,0.802462
512,0.777437
1024,0.794668
2048,1.20246
4096,1.47692
8192,1.66769
16384,3.61477
32768,4.38523
65536,7.85478
131072,15.3383
262144,29.7674
524288,50.7455
1048576,91.4565
2097152,183.039
4194304,323.272
8388608,740.21
16777216,1297.12
