n, Time (ms) 
64,0.446358
128,0.084923
256,0.136616
512,1.82892
1024,0.983383
2048,1.61723
4096,1.90933
8192,2.16369
16384,5.8642
32768,14.5665
65536,156.693
131072,230.567
262144,839.747
524288,4286.26
